"Subject","Session","Block","Trial","prime","target","RT","rel","category"
1,1,2,10,"MAYBE","ignore",689,"un","A"
1,1,2,32,"BREEZEWAY","walkway",807,"rel","A"
1,1,2,42,"COMPONENTS","parts",621,"rel","A"
1,1,2,63,"FRISK","act",852,"un","A"
1,1,2,97,"EARNESTNESS","honesty",666,"rel","A"
1,1,2,115,"OKAY","alright",689,"rel","A"
1,1,2,135,"STAIRS","wind",525,"un","A"
1,1,2,144,"LID","cover",710,"rel","A"
1,1,2,198,"HURT","pain",667,"rel","A"
1,1,2,209,"REPAIR","move",1011,"un","A"
1,1,2,214,"DARING","brave",716,"rel","A"
1,1,2,238,"RIDICULOUS","more",613,"un","A"
1,1,2,241,"SCENERY","view",511,"rel","A"
1,1,2,293,"ROAM","wander",869,"rel","A"
1,1,2,347,"THANKS","succeed",652,"un","A"
1,1,2,369,"DEAL","bother",856,"un","A"
1,1,2,383,"DRAPES","curtains",810,"rel","A"
1,1,2,403,"SELF","me",557,"rel","A"
1,1,2,408,"PEANUT","bravery",689,"un","A"
1,1,2,411,"FLAG","honor",574,"un","A"
1,1,2,412,"PIOUS","holy",935,"rel","A"
1,1,2,415,"VAST","easy",610,"un","A"
1,2,2,7,"CAUTION","danger",995,"rel","A"
1,2,2,9,"PICK","choose",567,"rel","A"
1,2,2,16,"PIECES","earth",510,"un","A"
1,2,2,18,"ANNIHILATE","destroy",609,"rel","A"
1,2,2,73,"SUMMIT","peak",710,"rel","A"
1,2,2,78,"BOOTH","smash",602,"un","A"
1,2,2,96,"SUPERSTITION","rule",712,"un","A"
1,2,2,97,"HINT","faint",715,"un","A"
1,2,2,128,"FINISHED","done",527,"rel","A"
1,2,2,134,"PRODUCT","item",725,"rel","A"
1,2,2,138,"DENIAL","refuse",601,"rel","A"
1,2,2,142,"CIRCUMSTANCE","situation",939,"rel","A"
1,2,2,156,"BOULEVARD","heat",656,"un","A"
1,2,2,197,"TEACH","loud",509,"un","A"
1,2,2,212,"STALE","first",614,"un","A"
1,2,2,235,"COBRA","maze",839,"un","A"
1,2,2,260,"MANUFACTURER","maker",1739,"rel","A"
1,2,2,277,"SANDPAPER","luggage",602,"un","A"
1,2,2,281,"DAD","waiter",708,"un","A"
1,2,2,304,"SELECTION","choice",556,"rel","A"
1,2,2,315,"DYNAMITE","maybe",781,"un","A"
1,2,2,328,"TRAIL","path",2142,"rel","A"
1,2,2,364,"FLOAT","control",616,"un","A"
1,2,2,376,"ACRE","vanish",681,"un","A"
1,2,2,392,"OPEN","smudge",861,"un","A"
1,2,2,411,"FLEXIBLE","wait",986,"un","A"
2,1,2,437,"PROVERB","silly",605,"un","A"
2,1,2,446,"ADORABLE","cute",545,"rel","A"
2,1,2,455,"CONTAINER","award",713,"un","A"
2,1,2,496,"MEMBER","plead",903,"un","A"
2,1,2,516,"TONIC","skinny",554,"un","A"
2,1,2,527,"FOLLY","mistake",581,"rel","A"
2,1,2,543,"MIRAGE","want",594,"un","A"
2,1,2,601,"MIDDLE","center",592,"rel","A"
2,1,2,608,"BARGAIN","sale",678,"rel","A"
2,1,2,610,"SNUGGLE","cuddle",950,"rel","A"
2,1,2,618,"FAMINE","hunger",659,"rel","A"
2,1,2,627,"RUM","meeting",595,"un","A"
2,1,2,673,"TOOTHPASTE","fighter",982,"un","A"
2,1,2,688,"CAR","auto",530,"rel","A"
2,1,2,701,"WAR","subject",591,"un","A"
2,1,2,703,"CHOICE","decision",567,"rel","A"
2,1,2,725,"CYCLONE","tornado",570,"rel","A"
2,1,2,732,"SHEARS","scissors",542,"rel","A"
2,1,2,746,"POLICEMAN","cop",745,"rel","A"
2,1,2,747,"DESIRE","join",523,"un","A"
2,1,2,772,"STEP","motion",672,"un","A"
2,1,2,774,"REMAIN","stay",715,"rel","A"
2,1,2,810,"SNOB","bitch",637,"rel","A"
2,1,2,819,"LABYRINTH","make",599,"un","A"
2,1,2,823,"EXTRA","music",983,"un","A"
2,2,2,428,"COZY","comfortable",552,"rel","A"
2,2,2,434,"ARIGHT","okay",470,"rel","A"
2,2,2,437,"DEFEND","protect",629,"rel","A"
2,2,2,445,"PRICKLY","together",772,"un","A"
2,2,2,469,"POWERFUL","suffocate",770,"un","A"
2,2,2,482,"MESSAGE","note",557,"rel","A"
2,2,2,492,"GUARDIAN","parent",694,"rel","A"
2,2,2,502,"SKILLER","donkey",586,"un","A"
2,2,2,512,"EXPLORER","power",536,"un","A"
2,2,2,513,"RAKE","prisoner",529,"un","A"
2,2,2,527,"TWO","precise",507,"un","A"
2,2,2,530,"PEBBLE","bucket",598,"un","A"
2,2,2,542,"RAISIN","clue",457,"un","A"
2,2,2,550,"CASHEW","sword",578,"un","A"
2,2,2,552,"REGION","loving",547,"un","A"
2,2,2,563,"SPECIAL","weird",576,"un","A"
2,2,2,593,"BLEND","mix",1101,"rel","A"
2,2,2,606,"MARSH","swamp",478,"rel","A"
2,2,2,613,"TRY","attempt",535,"rel","A"
2,2,2,625,"SWAP","trade",609,"rel","A"
2,2,2,634,"PAIL","slip",538,"un","A"
2,2,2,666,"MEANING","definition",504,"rel","A"
