"Subject","Session","Block","Trial","prime","target","RT","rel","category"
1,1,2,6,"PICTURE","frame",927,"rel","C"
1,1,2,28,"INDIRECT","doctor",931,"un","C"
1,1,2,30,"SALIVA","hoop",753,"un","C"
1,1,2,39,"REEF","coral",609,"rel","D"
1,1,2,47,"SNEAK","preview",589,"rel","C"
1,1,2,78,"COMPACT","disc",550,"rel","C"
1,1,2,88,"CURIOUS","george",613,"rel","C"
1,1,2,102,"OBSTACLE","course",602,"rel","C"
1,1,2,219,"PLENTY","thousand",665,"un","C"
1,1,2,221,"TYPIST","france",607,"un","C"
1,1,2,271,"SHAKE","rattle",621,"rel","C"
1,1,2,303,"INSTINCT","basic",649,"rel","D"
1,1,2,321,"FEMALE","perfect",705,"un","C"
1,1,2,342,"OZONE","layer",1042,"rel","C"
1,1,2,351,"CONNECT","dots",942,"rel","C"
1,1,2,353,"BEAN","green",640,"rel","D"
1,1,2,361,"DRIP","drop",558,"rel","C"
1,2,2,24,"HERO","toe",598,"un","C"
1,2,2,68,"HOLE","ground",681,"rel","C"
1,2,2,80,"PHONE","call",698,"rel","C"
1,2,2,92,"HIP","bone",774,"rel","C"
1,2,2,127,"LEAN","chip",600,"un","D"
1,2,2,139,"FACTS","have",1120,"un","C"
1,2,2,150,"MEDICAL","clown",588,"un","C"
1,2,2,175,"NIECE","hunter",625,"un","C"
1,2,2,176,"CHIPMUNK","cards",631,"un","C"
1,2,2,223,"ARTS","crafts",553,"rel","C"
1,2,2,226,"METRIC","system",589,"rel","C"
1,2,2,252,"MAGIC","coke",609,"un","C"
1,2,2,255,"HARDY","boys",544,"rel","C"
1,2,2,282,"HINDSIGHT","sting",678,"un","C"
1,2,2,283,"ENDING","three",603,"un","C"
1,2,2,285,"DESTINY","polish",618,"un","C"
1,2,2,291,"UNITED","states",883,"rel","C"
1,2,2,318,"INERTIA","telephone",688,"un","D"
1,2,2,320,"ACCELERATE","drugs",474,"un","C"
1,2,2,336,"CHICKEN","soup",543,"rel","C"
1,2,2,354,"SHORTCAKE","strawberry",674,"rel","D"
1,2,2,355,"STRIP","naked",662,"rel","C"
1,2,2,365,"CHECKING","account",526,"rel","C"
1,2,2,383,"THERE","chocolate",1422,"un","D"
1,2,2,393,"GIGGLE","clean",586,"un","D"
1,2,2,409,"FLAKE","corn",926,"rel","D"
2,1,2,454,"STOMACH","ache",527,"rel","C"
2,1,2,481,"TICKET","concert",530,"rel","D"
2,1,2,490,"GROCERY","store",492,"rel","C"
2,1,2,515,"HUNDRED","puzzle",712,"un","D"
2,1,2,523,"WICKER","basket",588,"rel","C"
2,1,2,556,"COOLER","wine",482,"rel","D"
2,1,2,571,"MONKEY","wash",527,"un","D"
2,1,2,583,"BULLETIN","board",543,"rel","C"
2,1,2,592,"OWN","yard",620,"un","C"
2,1,2,595,"PARK","tax",618,"un","C"
2,1,2,615,"SLING","shot",654,"rel","C"
2,1,2,617,"MORSE","code",555,"rel","C"
2,1,2,629,"DEER","slave",528,"un","D"
2,1,2,647,"DEVIL","club",617,"un","D"
2,1,2,664,"CRISP","zoo",696,"un","D"
2,1,2,716,"GUITAR","string",526,"rel","C"
2,1,2,734,"RAYS","fortune",782,"un","C"
2,1,2,737,"HUT","straw",513,"rel","D"
2,2,2,476,"HANDLE","care",428,"rel","C"
2,2,2,497,"EXIT","reaction",518,"un","C"
2,2,2,508,"SUB","sandwich",462,"rel","C"
2,2,2,521,"MELLOW","yellow",497,"rel","C"
2,2,2,522,"SPRAIN","ankle",590,"rel","C"
2,2,2,562,"HELIUM","balloon",519,"rel","C"
2,2,2,578,"CORPSE","not",730,"un","C"
2,2,2,589,"BURST","bubble",419,"rel","C"
2,2,2,609,"STEER","red",475,"un","D"
2,2,2,633,"FURTHER","away",528,"rel","C"
2,2,2,668,"PRESTIGE","check",703,"un","D"
2,2,2,676,"UNIFORM","nurse",728,"rel","D"
2,2,2,692,"LOWER","chew",701,"un","D"
2,2,2,755,"TELLER","bank",460,"rel","D"
2,2,2,793,"INTERRUPT","up",359,"un","C"
2,2,2,804,"ABLE","beam",601,"un","C"
2,2,2,811,"CREDIT","card",470,"rel","C"
3,1,2,5,"LOAD","heavy",690,"rel","D"
3,1,2,12,"DRILL","bit",502,"rel","C"
3,1,2,27,"DELINQUENT","juvenile",711,"rel","D"
3,1,2,34,"HIKING","boots",626,"rel","C"
3,1,2,49,"DEFINITION","off",623,"un","C"
3,1,2,56,"GRADUATE","student",590,"rel","C"
3,1,2,58,"CRAYOLA","crayon",709,"rel","C"
3,1,2,89,"CASE","court",546,"rel","D"
3,1,2,99,"CONTEMPORARY","tan",718,"un","C"
3,1,2,167,"FIBER","foreign",625,"un","D"
3,1,2,177,"CONCERN","worker",622,"un","C"
3,1,2,187,"DRAG","race",522,"rel","C"
3,1,2,206,"SMOKY","mountains",491,"rel","C"
3,1,2,209,"REMINISCENCE","coat",524,"un","C"
3,1,2,240,"DISCIPLINE","strict",636,"rel","D"
3,1,2,264,"HOE","doll",567,"un","C"
3,1,2,281,"RELATIVITY","theory",670,"rel","C"
3,1,2,304,"TOENAIL","clipper",487,"rel","C"
3,1,2,305,"PRINCESS","pledge",675,"un","D"
3,1,2,313,"PROMISE","broken",437,"rel","D"
3,1,2,320,"SQUAD","police",451,"rel","D"
3,1,2,329,"ATHLETIC","movie",823,"un","D"
3,1,2,333,"SUBTLE","hint",607,"rel","C"
3,1,2,373,"PUNCTUATION","kitchen",618,"un","D"
3,1,2,385,"GEORGE","washington",509,"rel","C"
3,1,2,403,"BLOUSE","hair",688,"un","D"
3,1,2,415,"CUSHION","couch",542,"rel","D"
3,2,2,1,"ROMAN","empire",476,"rel","C"
3,2,2,35,"SICKLE","cell",584,"rel","C"
3,2,2,38,"RIGHTS","station",845,"un","C"
3,2,2,46,"HARVEST","crops",445,"rel","C"
3,2,2,49,"MENTAL","health",482,"rel","C"
3,2,2,77,"JOURNAL","hamburger",521,"un","C"
3,2,2,80,"EXPLOSION","potato",505,"un","D"
3,2,2,87,"ENTERTAINMENT","television",493,"rel","C"
3,2,2,103,"BUSY","taxi",602,"un","D"
3,2,2,111,"WELCOME","home",381,"rel","C"
3,2,2,123,"LEAST","bath",442,"un","D"
3,2,2,126,"SHOW","tell",400,"rel","C"
3,2,2,132,"SELFISH","dive",406,"un","C"
3,2,2,166,"HAPPENING","now",430,"rel","C"
